127.0.0.1 - - [14/Sep/2021:17:25:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:25:10 +0530] "GET /basket/ HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:25:11 +0530] "POST /basket/login HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:25:14 +0530] "POST /basket/authenticate HTTP/1.1" 500 8228
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:26:59 +0530] "POST /basket/authenticate HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:11 +0530] "POST /basket/viewPrevousOrders HTTP/1.1" 500 4807
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:42 +0530] "GET /basket/ HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:44 +0530] "POST /basket/viewPrevousOrders HTTP/1.1" 200 3786
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:50 +0530] "POST /basket/showCatalog HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:52 +0530] "GET /basket/addProduct/242 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:52 +0530] "GET /basket/showCatalog HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:52 +0530] "GET /basket/addProduct/242 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:52 +0530] "GET /basket/showCatalog HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:53 +0530] "GET /basket/addProduct/241 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:53 +0530] "GET /basket/showCatalog HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:53 +0530] "GET /basket/addProduct/241 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:53 +0530] "GET /basket/showCatalog HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:27:54 +0530] "POST /basket/calculateBill HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:05 +0530] "POST /basket/showCatalog HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:08 +0530] "GET /basket? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:08 +0530] "GET /basket/? HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:11 +0530] "POST /basket/viewPrevousOrders HTTP/1.1" 200 4197
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:54 +0530] "GET /basket? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:54 +0530] "GET /basket/? HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:55 +0530] "GET /basket/allUsers? HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:58 +0530] "GET /basket/changeStatus/10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:58 +0530] "GET /basket/allUsers HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:59 +0530] "GET /basket/changeStatus/10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:28:59 +0530] "GET /basket/allUsers HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:29:01 +0530] "GET /basket? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:29:01 +0530] "GET /basket/? HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:29:05 +0530] "POST /basket/showCatalog HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:29:06 +0530] "GET /basket/addItem HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:29:24 +0530] "POST /basket/saveItem HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [14/Sep/2021:17:29:28 +0530] "GET /basket/showCatalog HTTP/1.1" 200 1483
